,user.name,created_at,id,full_text,display_text_range,source,retweet_count,favorite_count,user.followers_count,user.friends_count,user.statuses_count,partido,tipo de post,hashtags,campaña
2,🇪🇸🏳️‍🌈 Miguel Ángel Bastenier,2021-04-27 23:57:46+00:00,1387194289134919688,"☝️💙🖋🖋 “EL PEOR ENEMIGO DEL SOCIO-COMUNISMO, NO ES EL CAPITALISMO ; ES LA REALIDAD” ( #MargaretTHATCHER  Ex Primera Ministra Británica 1921-2013 ) ⭐️⭐️⭐️⭐️⭐️☝️👇
#YoConAyuso #Libertad
.⁦@populares⁩ .⁦@PSOE⁩ .⁦@CiudadanosCs⁩ .⁦@PodemosCongreso⁩ .⁦ https://t.co/EylyMs0kOu","[0, 244]",Twitter for iPhone,0,1,447,1877,45837,Partido Popular,mención,"['MargaretTHATCHER', 'YoConAyuso', 'Libertad']",general
3,Un transeúnte,2021-04-27 23:57:33+00:00,1387194238350368768,"@mangemalo @populares @IdiazAyuso Sabes que eso es falso, verdad?","[34, 65]",Twitter for Android,0,0,57,133,2011,Partido Popular,mención,[],general
4,Un transeúnte,2021-04-27 23:56:22+00:00,1387193936784076805,"@ArwenCelta @populares @IdiazAyuso Te refieres al chepas, verdad?","[35, 65]",Twitter for Android,0,0,57,133,2011,Partido Popular,mención,[],general
5,unocualquiera 🇪🇸,2021-04-27 23:56:11+00:00,1387193891351404544,@guille2702 @juanjodom @PODEMOS @PSOE @vox_es @populares @MasMadridCM Pues ocurre siempre 🤦‍♂️,"[70, 94]",Twitter Web App,0,3,106,173,7271,Partido Popular,mención,[],general
6,🇪🇸💚Prohibido👑Rendirse💙🇪🇸,2021-04-27 23:55:25+00:00,1387193698128105477,@AlmeidaPP_ Que grande eres de lo poco que vale y mucho en @populares,"[12, 69]",Twitter for Android,0,0,10134,11133,18550,Partido Popular,mención,[],general
7,Santiago Mariscal,2021-04-27 23:55:16+00:00,1387193663680393217,"Ciudadanos y Vox se van del pleno al negarse PSOE y Más Madrid a condenar la violencia contra ellos.
EL PP SE QUEDA.
https://t.co/FH8n1E93kF","[0, 140]",Twitter Web App,0,1,3056,3275,44924,Partido Popular,mención,[],general
8,Aquelo,2021-04-27 23:55:13+00:00,1387193647842615298,"@adelillay @MariconLiberta1 Y quien le dice que aquello no era un escándalo? El PP, el PSOE, el BNG se peleaban por dar prioridad a los paises donde ""controlaban"" los votos. Por eso se intentó acabar con ese sistema y el PSOE se hundió para luego criticar esa medida como fascista","[28, 280]",Twitter for Android,0,0,61,96,16655,Partido Popular,mención,[],general
9,JMD,2021-04-27 23:53:42+00:00,1387193266542718976,"@aus29851124 @CorreosAtiende @iBarbarellah CC @Macarena_Olona aqui un ticket de voto SI REALIZADO, como se puede ver, el ticket se lo dan a ella. HUELE MUY MAL. CC @Santi_ABASCAL @monasterioR @IdiazAyuso @ivanedlm @AlmeidaPP_ @vox_es @madrid_vox @ppmadrid @populares","[43, 266]",Twitter Web App,3,6,188,720,256,Partido Popular,mención,[],general
0,Roberto M.,2021-04-27 23:59:47+00:00,1387194798331908100,@CiudadanosCs @BalEdmundo #FijezaYa a tod@s trabajador@s públicos en abuso. Lucharemos hasta conseguir lo que es justo y legal.Directiva 1999/70/CE y sentencia TJUE 19 marzo 2020.Tod@s junt@s hasta el final.#InspeccionYa @PSOE @PODEMOS @miqueliceta @sanchezcastejon @CiudadanosCs #FijezaYaEsConstitucional https://t.co/ydI21fFAAU,"[26, 305]",Twitter for Android,30,22,150,10,10151,PSOE,mención,"['FijezaYa', 'InspeccionYa', 'FijezaYaEsConstitucional']",general
1,Antonio Martínez,2021-04-27 23:59:37+00:00,1387194756359393283,La directora de la Guardia Civil que hace campaña por el PSOE cobra más de 120.000 euros anuales https://t.co/2seEgayzKS,"[0, 120]",Twitter for iPhone,0,0,213,1448,7183,PSOE,mención,[],general
2,Jared Vennett,2021-04-27 23:59:36+00:00,1387194751577907203,"@SaturSalcedo @sanchezcastejon Por cierto, palmero de los buenos. Detesta a los corruptos, pero sigue dando palmadas con las orejas de Dumbo al @PSOE. De esta gente con empleo pero sin vocación nunca os va a faltar. Sánchez es el mayor traidor, cabeza bombilla.","[31, 261]",Twitter for iPhone,0,0,134,593,3121,PSOE,mención,[],general
3,𝕯𝖆𝖘𝖙𝖆𝖓 🇪🇸💚,2021-04-27 23:58:36+00:00,1387194502553690119,"@Macarena_Olona @PSOE Claro, como tiene no sé cuantas...anda que...","[22, 67]",Twitter for Android,1,1,2871,2919,29921,PSOE,mención,[],general
4,J.J,2021-04-27 23:58:20+00:00,1387194434379554819,"@anarka_ros @msnala_ Que sabrás tú del fascismo.
Fascismo es imponer las ideas con violencia (a pedradas p.ej). Creado por Benito Musolini, secretario general del partido socialista italiano. Nazismo, es el partido Nacional Socialista creado por Hitler.
La violencia siempre viene desde la izquierda","[21, 299]",Twitter for Android,0,0,0,19,27,PSOE,mención,[],general
5,Aquelo,2021-04-27 23:58:09+00:00,1387194386799267845,@adelillay @MariconLiberta1 Un sistema corrupto que se ha puesto en duda y que en cuanto se le ha controlado más ..... El PSOE ha obtenido los peores resultados de su historia. Casualidad? Todos trincaban pero el PSOE dependía de el voto rogado,"[28, 244]",Twitter for Android,0,0,61,96,16655,PSOE,mención,[],general
